epic,desc,charge,spread
0485522,,0.40,0.12
0847092,,0.35,0.13
0847100,,0.16,0.10
3097407,,0.40,0.19
7018910,,0.16,0.03
7028704,,0.25,0.06
7078055,,0.16,0.04
7078066,,0.20,0.06
7085044,,0.35,-0.15
7104604,,0.51,0.18
7131323,,0.51,0.08
7131419,,0.51,0.19
7222744,,0.51,0.21
7224041,,0.15,0.09
7270798,,0.30,0.10
7633216,,0.40,0.77
7735877,,0.22,0.31
B00D611,,0.20,0.06
B02KXH5,,0.59,0.07
B02KXK8,,0.74,0.21
B02KXL9,,0.40,0.14
B02KXM0,,0.40,0.10
B04X7G9,,0.45,0.08
B0791H3,,0.31,0.23
B0791S4,,0.20,0.00
B079247,,0.20,0.09
B079258,,0.20,0.18
B08TZF8,,0.31,0.10
B0GL4T3,,0.30,0.11
B0M62Q5,,0.50,0.13
B0M62S7,,0.40,0.09
B0M62T8,,0.40,0.12
B0M62V0,,0.40,0.10
B0M62Y3,,0.30,0.07
B0M6328,,0.40,0.09
B0M6339,,0.74,0.19
B0M6362,,0.74,0.26
B0M6373,,0.74,0.19
B0M6395,,0.74,0.29
B0XV6J0,,0.35,0.07
B1263G9,,0.31,0.18
B14X4N2,,0.40,0.07
B14X4T8,,0.59,0.31
B17NZ81,,0.65,0.46
B17Z877,,0.40,0.08
B18Q2H7,,0.51,0.13
B1CDG49,,0.07,0.04
B1CDG61,,0.40,0.10
B1CDGK5,,0.75,0.09
B1CDHR9,,0.74,0.28
B1CDJV7,,0.74,0.29
B1CDJX9,,0.74,0.16
B1CDJZ1,,0.74,0.17
B1CDK14,,0.74,0.22
B1DGRZ5,,0.35,0.12
B1G5179,,0.65,0.35
B1G5328,,0.59,0.37
B1G5340,,0.40,0.19
B1G5362,,0.59,0.09
B1G5384,,0.65,0.12
B1G5395,,0.74,0.47
B1G53G2,,0.59,0.08
B1GJF02,,0.74,0.48
B1GK6W4,,0.85,0.44
B1HPZ65,,0.30,0.04
B1HPZL0,,0.30,0.10
B1MFTR9,,0.70,0.95
B1MFTS0,,0.45,1.01
B1N97S7,,0.60,0.00
B1PNBD0,,0.65,0.28
B1TXHL6,,0.75,0.18
B1TXK62,,0.65,0.12
B1TXLS1,,0.40,0.12
B1VFFN8,,0.30,0.18
B1VS377,,0.39,0.03
B1W5MJ2,,0.74,0.17
B1WG983,,0.25,0.07
B1WG994,,0.30,0.16
B1WG9B6,,0.30,0.14
B1WK0B5,,0.15,0.17
B1WK2H5,,0.20,0.26
B1WK424,,0.49,0.12
B1WKQ28,,0.65,0.29
B1WKYB3,,0.65,0.16
B1WKYK2,,0.65,0.22
B1WKYS0,,0.65,0.28
B1WKZ09,,0.85,0.21
B1WKZ76,,0.65,0.28
B1WKZB0,,0.60,0.24
