epic,desc,pd,pd12,charge,spread
0005997,Aberdeen New Thai Investment Trust plc (ANW) Ordinary 25p Shares Share Price | ANW,-14.13,-15.58,1.41,2.36
0006655,Aberforth Smaller Companies Trust (ASL) Ordinary 1p Shares Share Price | ASL,-11.19,-13.08,0.76,0.16
0010076,Aberdeen Asian Smaller Companies Investment Trust (AAS) Ordinary 25p Share Price | AAS,-12.01,-14.23,1.17,0.48
0017505,F&C Global Smaller Companies plc (FCS) Ordinary 25p Shares Share Price | FCS,-1.25,0.64,0.61,0.38
0019772,Jupiter Euro Opportunities Trust (JEO) Ordinary 1p Shares Share Price | JEO,0.85,-2.59,0.99,0.54
0029362,North American Income Trust plc (NAIT) Ordinary 25p Shares Share Price | NAIT,-4.99,-7.96,1.05,0.78
0035392,City Natural Resources High Yield Trust plc (CYN) Ordinary 25p Shares Share Price | CYN,-19.55,-17.54,1.74,1.23
0038551,Biotech Growth Trust (The) (BIOG) Ordinary 25p Share Price | BIOG,-4.71,-5.44,1.10,1.60
0048583,Baillie Gifford Japan Trust plc (BGFD) Ordinary 5p Shares Share Price | BGFD,6.32,5.00,0.78,1.69
0060929,Athelney Trust (ATY) Ordinary 25p Share Price | ATY,-5.18,-7.60,2.76,7.41
0063326,Aurora Investment Trust plc (ARR) Ordinary 25p Share Price | ARR,1.56,1.54,0.80,1.96
0065311,British & American Investment Trust plc (BAF) Ordinary Shares GBP1 Share Price | BAF,116.18,98.96,6.63,15.87
0068417,SVM UK Emerging Fund plc (SVM) Ordinary 5p Share Price | SVM,-20.47,-26.78,1.26,5.43
0070627,Baillie Gifford Shin Nippon plc (BGS) Ordinary 10p Shares Share Price | BGS,9.32,6.14,0.96,0.42
0076700,Bankers Investment Trust plc (BNKR) Ordinary 25p Shares Share Price | BNKR,0.21,-3.17,0.44,0.23
0081168,Independent Investment Trust plc (IIT) Ordinary 25p Share Price | IIT,11.41,1.56,0.25,1.72
0121600,Henderson Alternative Strategies Trust (HAST) Ordinary 25p Shares Share Price | HAST,-15.16,-14.58,1.04,1.04
0129756,Aberdeen Diversified Income And Growth Trust (ADIG) Ordinary 25p Share Price | ADIG,-3.80,-5.47,0.23,1.23
0132077,JPMorgan Asian Investment Trust (JAI) Ordinary 25p Share Price | JAI,-8.76,-9.41,0.73,0.55
0133508,British Empire Trust plc (BTEM) Ordinary 10p Share Price | BTEM,-10.48,-10.43,0.86,0.28
0149000,Brunner Investment Trust plc (BUT) Ordinary 25p Shares Share Price | BUT,-11.07,-11.42,0.79,0.80
0163992,Caledonia Investments plc (CLDN) Ordinary 5p Share Price | CLDN,-16.76,-16.47,1.14,0.55
0170710,Canadian General Investments (CGI) Nil Par Value (CDI) Share Price | CGI,,,,3.68
0173861,Capital Gearing Trust plc (CGT) Ordinary 25p Shares Share Price | CGT,1.64,1.66,0.86,1.03
0174002,JPMorgan Japanese Investment Trust (JFJ) Ordinary 25p Share Price | JFJ,-10.99,-10.96,0.69,1.38
0199049,City Of London Investment Trust (CTY) Ordinary 25p Shares Share Price | CTY,1.73,1.64,0.42,0.24
0225847,Manchester & London Inv Tst plc (MNL) Ordinary 25p Share Price | MNL,-2.07,-10.35,0.96,1.74
0230852,Tiger Resource Finance (TIR) Ordinary 0.1p Share Price | TIR,-22.58,-25.98,32.18,66.67
0235761,JPMorgan Mid Cap Investment Trust plc (JMF) Ordinary 25p Shares Share Price | JMF,-5.48,-10.25,0.86,0.83
0262134,Chelverton Growth Trust (CGW) Ordinary 1p Share Price | CGW,-18.61,-12.71,4.04,10.45
0263104,New Star Investment Trust plc (NSI) Ordinary 1p Share Price | NSI,-22.93,-29.54,0.90,8.33
0291633,Edinburgh Worldwide Investment Trust (EWI) Ordinary 5p Share Price | EWI,1.80,-4.84,0.87,1.03
0294502,Edinburgh Dragon Trust plc (EFM) 20p Ordinary Shares Share Price | EFM,-12.10,-12.16,1.04,0.54
0295958,Standard Life UK Smaller Companies Trust plc (SLS) Ordinary 25p Shares Share Price | SLS,-1.65,-5.30,1.08,1.98
0305233,Edinburgh Investment Trust plc (EDIN) Ordinary 25p Shares Share Price | EDIN,-8.29,-6.58,0.60,0.31
0308544,Electra Private Equity plc (ELTA) Ordinary 25p Share Price | ELTA,-19.66,-11.42,3.70,2.09
0316581,JPMorgan Japan Smaller Companies Trust plc (JPS) Ordinary 10p Share Price | JPS,-10.79,-11.45,1.31,2.76
0322566,European Assets Trust Nv (EAT) EUR 0.46 (Regd) Share Price | EAT,1.08,-0.14,1.16,1.54
0329200,ICG Enterprise Trust plc (ICGT) Ordinary 10p Shares Share Price | ICGT,-11.56,-15.38,1.28,0.98
0329501,European Investment Trust plc (EUT) Ordinary 25p Shares Share Price | EUT,-9.74,-11.12,0.59,0.85
0332231,Fidelity Asian Values (FAS) Ordinary 25p Share Price | FAS,-6.58,-5.11,1.29,0.27
0332855,Fidelity Japanese Values plc (FJV) Ordinary 25p Share Price | FJV,-8.91,-11.83,1.46,2.32
0338530,Worldwide Healthcare Trust plc (WWH) Ordinary 25p Share Price | WWH,1.11,0.27,1.38,0.41
0339072,Allianz Technology Trust (ATT) Ordinary 25p Share Price | ATT,-2.00,-3.86,1.03,2.02
0340609,Dunedin Income Growth Investment Trust (DIG) Ordinary 25p Share Price | DIG,-9.81,-9.96,0.65,1.20
0341895,JPMorgan Emerging Markets IT plc (JMG) Ordinary 25p Share Price | JMG,-11.18,-12.51,1.07,0.11
0342218,JPMorgan Claverhouse Investment Trust plc (JCH) Ordinary 25p Share Price | JCH,-3.21,-6.76,0.79,0.56
0343501,JPMorgan Chinese Investment Trust plc (JMC) Ordinary 25p Share Price | JMC,-9.94,-12.57,1.38,1.55
0345035,JPMorgan Indian Investment Trust (JII) Ordinary 25p Share Price | JII,-10.86,-11.01,0.12,0.14
0346328,F & C Capital and Income Inv Trust (FCI) Ordinary 25p Shares Share Price | FCI,0.47,0.60,0.61,0.95
0346340,Jupiter US Smaller Companies plc (JUS) Ordinary 25p Shares Share Price | JUS,-8.81,-8.97,1.01,0.24
0346607,Foreign & Colonial Investment Trust plc (FRCL) Ordinary 25p Share Price | FRCL,-3.19,-6.11,0.54,0.15
0358572,INVESCO Income Growth Trust (IVI) Ordinary 25p Share Price | IVI,-10.75,-10.51,0.80,1.45
0365602,Witan Pacific Investment Trust (WPC) Ordinary 25p Shares Share Price | WPC,-12.31,-13.20,0.88,2.10
0370866,Troy Income & Growth Trust plc (TIGT) Ordinary 25p Share Price | TIGT,-0.33,0.38,0.94,2.37
0388728,Gresham House (GHE) Ordinary 25p Share Price | GHE,4.46,0.00,6.91,1.49
0392075,Aberdeen Japan Investment Trust plc (AJIT) Ordinary 10p Share Price | AJIT,-8.71,-11.37,1.25,1.59
0392105,HG Capital Trust plc (HGT) Ordinary 25p Share Price | HGT,-5.25,-7.08,1.66,1.16
0414850,Pantheon International (PIN) 67p Ordinary Shares Share Price | PIN,-14.25,-17.48,1.13,0.53
0419929,Henderson Eurotrust plc (HNE) Ordinary 5p Share Price | HNE,-2.21,-3.76,0.87,0.86
0422002,Polar Capital Technology Trust plc (PCT) Ordinary 25p Share Price | PCT,-0.78,-0.02,1.01,0.17
0422864,Herald Investment Trust (HRI) Ordinary 25p Share Price | HRI,-13.11,-16.53,1.09,0.85
0435594,Artemis Alpha Trust plc (ATS) Ordinary 1p Share Price | ATS,-16.16,-19.38,0.91,2.54
0453530,Invesco Asia Trust plc (IAT) Ordinary 10p Share Price | IAT,-11.14,-11.67,1.02,1.37
0454351,Montanaro European Smaller Companies Trust plc (MTE) Ordinary 50p Share Price | MTE,-9.09,-11.77,1.25,0.60
0455934,International Biotechnology Trust (IBT) Ordinary 25p Shares Share Price | IBT,-2.19,-4.76,1.49,2.37
0465825,Investment Co plc (INV) Ordinary 50p Share Price | INV,-12.56,-8.96,2.55,6.06
0482943,Acorn Income Fund (AIF) Ordinary 25p Share Price | AIF,-1.39,-5.79,1.63,2.36
0491206,Keystone Investment Trust plc (KIT) Ordinary 50p Shares Share Price | KIT,-9.67,-10.84,0.62,0.58
0505840,BlackRock Latin American Investment Trust (BRLA) Ordinary Shares $0.10 Share Price | BRLA,-14.16,-13.12,1.19,0.61
0526885,Henderson European Focus Trust plc (HEFT) Ordinary 50p Shares Share Price | HEFT,-0.54,0.40,0.87,1.14
0532707,Blue Planet Investment Trust (BLP) Ordinary 1p Share Price | BLP,-9.37,-13.88,3.68,10.20
0536806,Lowland Investment Company plc (LWI) Ordinary 25p Shares Share Price | LWI,-5.45,-6.20,0.69,1.32
0537241,Martin Currie Global Portfolio Trust (MNP) Ordinary 5p Shares Share Price | MNP,-0.86,-0.69,0.73,0.42
0555522,Majedie Investments plc (MAJE) Ordinary 10p Shares Share Price | MAJE,-11.07,-10.30,1.09,1.74
0569512,Martin Currie Asia Unconstrained Trust plc (MCP) Ordinary 50p Shares Share Price | MCP,-12.04,-12.57,1.13,1.78
0577485,BlackRock World Mining Trust (BRWM) Ordinary 5p Share Price | BRWM,-11.25,-11.89,1.10,0.38
0577656,Dunedin Enterprise Investment Trust (DNE) Ordinary 25p Share Price | DNE,-11.36,-27.01,2.66,5.38
0579403,Mercantile Investment Trust Plc (MRC) Ordinary 25p Shares Share Price | MRC,-8.91,-9.77,0.50,0.24
0580007,Merchants Trust plc (MRCH) Ordinary 25p Share Price | MRCH,-5.68,-5.47,0.63,1.46
0596286,Mithras Investment Trust plc (MTH) Ordinary 2p Share Price | MTH,-2.25,-6.17,2.41,4.96
0600756,Montanaro UK Smaller Cos Inv Tst plc (MTU) Ordinary 10p Share Price | MTU,-17.31,-19.24,1.24,1.39
0603959,Standard Life Equity Income Trust Plc (SLET) Ordinary 25p Shares Share Price | SLET,-0.56,-4.61,0.88,1.29
0604877,Aberdeen New India Investment Trust (ANII) Ordinary 25p Share Price | ANII,-12.80,-11.08,1.30,1.13
0610841,Schroder UK Mid Cap Fund (SCP) Ordinary 25p Share Price | SCP,-14.99,-16.51,0.93,0.38
0611112,Murray Income Trust plc (MUT) Ordinary 25p Shares Share Price | MUT,-8.12,-8.29,0.72,0.79
0611190,Murray International Trust plc (MYI) Ordinary 25p Shares Share Price | MYI,3.72,1.87,0.68,0.16
0643610,BlackRock Smaller Companies Trust (BRSC) Ordinary 25p Shares Share Price | BRSC,-9.18,-13.07,0.97,0.74
0643900,North Atlantic Smaller Cos Inv Tst (NAS) Ordinary 5p Share Price | NAS,-20.25,-18.80,1.12,1.77
