sector_desc,avg
Asia Pacific,-9.32818181818
Biotechnology & Healthcare,-2.344
Commodities & Natural Resources,-15.57
Debt,0.102222222222
Environmental,-4.272
Equity Investment Instruments,-6.22666666667
Europe,-7.032
General Financial,-5.5775
Global,-2.64931034483
Global Emerging Markets,-6.775
Global Equity Income,-1.24777777778
Global Growth,-1.24666666667
Hedge Funds,-13.2866666667
Infrastructure,5.767
Investment Trust,-1.77444444444
Japan,-4.77333333333
Latin America,-13.6533333333
North America,-7.595
Private Equity,-14.43625
Property,-11.172
Sector Specialist,-10.488
Split Capital Trust,-5.055
UK All Companies,-10.7864285714
UK Equity & Bond Income,-4.14
UK Equity Income,-0.401428571429
UK Smaller Companies,-12.1313333333
