sector_desc,avg
Asia Pacific,-9.89818181818
Biotechnology & Healthcare,-2.892
Commodities & Natural Resources,-19.97375
Debt,0.521111111111
Environmental,-15.2257142857
Europe,-8.23466666667
General Financial,-5.115
Global,-4.48206896552
Global Emerging Markets,-8.55272727273
Global Equity Income,-2.56222222222
Global Growth,-0.39
Hedge Funds,-15.7077777778
Infrastructure,0.384545454545
Investment Trust,-1.04222222222
Japan,-6.02333333333
Latin America,-13.39
North America,-8.48428571429
Private Equity,-15.9736363636
Property,-16.7566666667
Sector Specialist,4.06125
Split Capital Trust,-4.98722222222
UK All Companies,-11.7521428571
UK Equity & Bond Income,-4.24333333333
UK Equity Income,-1.46761904762
UK High Income,-3.33
UK Smaller Companies,-12.9013333333
